method,thr,iou,dice,acc,ece,delta_iou_pct,ms_per_image,note
0_baseline_thr0.5,0.5,0.777487,0.874816,0.843793,0.059168,0.0,19.36,ViT raw
1_thr_star,0.7,0.773527,0.872304,0.847973,0.059168,-0.509,19.36,t*=0.70
2_thr_star_morph,0.5,0.773556,0.872322,0.847997,0.152003,-0.506,20.23,open+close
3_tta4,0.7,0.778583,0.875509,0.851451,0.053446,0.141,46.67,4-view avg
4_tta4_morph,0.5,0.778589,0.875513,0.851456,0.148544,0.142,47.54,TTA+morph
5_confidence_adaptive_thr,0.5,0.773527,0.872304,0.847973,0.152027,-0.509,19.36,strict on high H
6_temperature_scaled,0.7,0.759577,0.863363,0.841543,0.008982,-2.304,19.36,T*=1.5
7_bilateral_refine,0.7,0.773121,0.872045,0.847844,0.058117,-0.562,20.35,CRF-lite
8_concept_guided,0.7,0.774121,0.872681,0.848064,0.072521,-0.433,20.69,"dense/boundary up, clearing down"
9_concept_guided_morph,0.5,0.774131,0.872688,0.848073,0.151927,-0.432,21.56,
10_lbr_net,0.7,0.739747,0.850407,0.831399,0.019638,-4.854,44.86,novel tiny refiner
11_tta4_lbr_net,0.7,0.743664,0.85299,0.834307,0.012337,-4.35,72.17,TTA then LBR
12_concept_lbr,0.7,0.745927,0.854477,0.834679,0.046983,-4.059,46.19,concept-guided then LBR
