arm,epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
No augmentation,1,0.5852844763369788,0.7750165331931341,0.6437863755793799,0.5327585598696833,0.7931898132614468,0.6761524275593136
No augmentation,2,0.5456010230949947,0.8003480170454298,0.6824203393289021,0.5818260143632474,0.6320423853138218,0.49074378933595575
No augmentation,3,0.5300366708210537,0.793600284343674,0.6701195103071985,0.46544962862263556,0.8120950602966807,0.7023462471754655
No augmentation,4,0.5251785868690128,0.7991799926473981,0.6797534299038706,0.47789041503616003,0.8241833396579908,0.7192544107851775
No augmentation,5,0.5098439466385615,0.8107236737296695,0.6939218220256623,0.4459280093079028,0.8322663682958354,0.7319150359734244
No augmentation,6,0.5007868874640692,0.8166156178429014,0.7002305944760641,0.4503395447264547,0.8290618994961614,0.7255733557369398
No augmentation,7,0.5131871615137372,0.8082660703431992,0.6895896239649681,0.43135652853095013,0.8473763284475907,0.7502946620402129
No augmentation,8,0.4976797416096642,0.8155833206006459,0.7034294649249031,0.4496387437633846,0.8101080733796825,0.6966019039568694
With augmentation,1,0.602160716624487,0.7639701891513098,0.6279326030186244,0.5680333285228066,0.7619791510312454,0.6332198951555335
With augmentation,2,0.5683102221716018,0.7870978806700025,0.6631145216169811,0.5401528931182363,0.7927000613316245,0.6769834679106007
With augmentation,3,0.5593962396894182,0.7970221791948591,0.6766308011043639,0.4890446066856384,0.8245712337286576,0.7204946162907974
With augmentation,4,0.5469058567569369,0.796310612985066,0.6779074304870196,0.4919776799886123,0.8024950545767079,0.6920542250508848
With augmentation,5,0.5465242734977177,0.7974871791544415,0.6771143534353801,0.5631905768228613,0.7787856096806733,0.6575194765692172
With augmentation,6,0.5404602340289525,0.799166654972803,0.6781201337065016,0.543665885925293,0.7716304128584655,0.6456335186958313
With augmentation,7,0.5347117177077703,0.7997507770856221,0.6769180984724136,0.49917965479519055,0.8119928253733594,0.7038022590720135
With augmentation,8,0.5171853275526137,0.8067026485999426,0.689883931123075,0.4668782599594282,0.8007761032684989,0.6836236352505891
